,EIN,NAME,APPLICATION_TYPE,AFFILIATION,CLASSIFICATION,USE_CASE,ORGANIZATION,STATUS,INCOME_AMT,SPECIAL_CONSIDERATIONS,ASK_AMT,IS_SUCCESSFUL
7722,272610947,PARENT BOOSTER USA INC,T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,5000,0
7723,272612639,SOUTHWEST ADVOCACY GROUP,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,44523,1
7724,272613885,GREEN OKANOGAN,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
7725,272617032,CLEARCREEK I S D SUPPORT GROUPS,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,5000,0
7726,272624803,GLOBAL ACTION RESEARCH CENTER,T3,Independent,C1200,Preservation,Trust,1,100000-499999,N,154939,1
7727,272628613,KLEIN SUPPORT GROUPS INC,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
7728,272632662,ASHA KA INDIA INC,T3,Independent,C7100,Preservation,Trust,1,100000-499999,N,63722,1
7729,272650616,ROCKY MOUNTAIN INVESTIGATIVE NEWS NETWORK,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
7730,272652277,RESURRECTION THEATRE COMPANY,T3,Independent,C2300,Preservation,Trust,1,0,N,5000,1
7731,272655628,EASTSIDE SOCCER CLUB HI,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
7732,272656910,ADVENTIST MEDICAL EVANGELISM NETWORK MEDIA INC,T3,Independent,C2000,Preservation,Trust,1,25000-99999,N,156093,1
7733,272657899,FOUNDATION FOR INSPIRATION & RECOGNITION SCIENCE & TECHNOLOGY I,T3,Independent,C1200,Preservation,Trust,1,1M-5M,N,446013,0
7734,272659037,ELLIS R HODGE BIBLE CRUSADE MINISTRIES INC,T3,Independent,C1700,Preservation,Trust,1,0,N,5000,1
7735,272659620,FOUNDATION TO CHANGE THE IMAGE OF HAITI,T3,Independent,C1000,Preservation,Trust,1,10000-24999,N,9749,1
7736,272660244,EL SHADDAI INTERNATIONAL OUTREACH MINISTRIES INC,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
7737,272669335,FOUNDATION OF EDUCATIONAL RESOURCES FOR MATHEMATICS ACHEVEMENT AND T,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
7738,272677212,SOUTHWEST REINED COW HORSE ASSOCIATION,T6,Independent,C1000,ProductDev,Trust,1,25000-99999,N,136909,1
7739,272678046,ANIMALS ANONYMOUS RELIEF FUND,T3,Independent,C1240,Preservation,Trust,1,0,N,5000,1
7740,272679246,DAVING VENTURES INC,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
7741,272685185,ALUMNI AND VOLUNTEER CORPORATION OF THE CALIFORNIA BETA,T7,Independent,C1000,ProductDev,Trust,1,0,N,5000,0
7742,272685295,THE ALUMNI AND VOLUNTEER CORPORATION OF THE CALIFORNIA,T7,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
7743,272685899,COTTONWOOD BADGERS PTO,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,21481,0
7744,272687995,KIWANIS INTERNATIONAL NATIONAL HEADQUARTERS,T4,Independent,C1000,ProductDev,Trust,1,0,N,5000,0
7745,272693574,PTA TEXAS CONGRESS,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
7746,272695875,SPIRITHORSE THERAPEUTIC RIDING CENTER,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,1
7747,272700404,MERRITT ISLAND LACROSSE CLUB INC,T3,Independent,C1000,Preservation,Trust,1,0,Y,5000,0
7748,272709210,GENERAL FEDERATION OF WOMENS CLUBS ARIZONA INC,T4,CompanySponsored,C3000,ProductDev,Association,1,0,N,5000,0
7749,272720516,HBCU COMMUNITY DEVELOPMENT ACTION COALITION,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,35416,1
7750,272722971,A DOBERMAN ADOPTION PLACEMENT TEAM,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
7751,272735905,PROJECT IGNITE GLOBAL MINISTRIES INC,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
7752,272739680,HERITAGE CHRISTIAN EDUCATIONAL MINISTRIES INC,T3,Independent,C2000,Preservation,Trust,1,100000-499999,N,31230,0
7753,272758626,BARNES ADVANCEMENT OF MINORITY BUSINESS ENTERPRISE,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
7754,272758892,PARENT BOOSTER USA INC,T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,5000,0
7755,272758904,SOUTH FLORIDA FOSTER & ADOPTIVE PARENTS ASSOCIATION,T3,Independent,C1200,Preservation,Trust,1,10000-24999,N,5000,1
7756,272759574,RECRUITING EDUCATION FOUNDATION INC,T3,Independent,C2100,Preservation,Trust,1,25000-99999,N,31807,1
7757,272762094,YANG FAMILY TAI CHI CHUAN FOUNDATION,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
7758,272762295,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,T4,CompanySponsored,C3000,ProductDev,Association,1,0,N,5000,0
7759,272763724,BARTRAM SPRINGS BARRACUDAS INC,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
7760,272767991,FIDDLIN FROG FOUNDATION INC,T3,Independent,C2100,Preservation,Trust,1,0,N,5000,1
7761,272768437,SOCIETY OF SAINT VINCENT DE PAUL COUNCIL OF LOS ANGELES,T3,CompanySponsored,C1700,Preservation,Association,1,0,N,5000,0
7762,272769773,THE CENTER FOR RECREATION EDUCATION ARTS TECHNOLOGY & ENTERPRISE INC,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
7763,272771450,PARENT BOOSTER USA INC,T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,5000,0
7764,272773019,MOUNT OLIVE EDUCATIONAL CENTER,T3,Independent,C1270,Preservation,Trust,1,0,N,5000,1
7765,272776382,CLEAR CREEK ISD GROUPS,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,5000,0
7766,272778127,CLEAR CREEK ISD GROUPS,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,5000,0
7767,272782990,JACKSONVILLE DISTRICT COUNCIL SOCIETY OF ST VINCENT DE PAUL INC,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
7768,272784131,PREGNANT DOG RESCUE INC,T3,Independent,C4000,Preservation,Trust,1,100000-499999,N,5000,1
7769,272784595,PTA TEXAS CONGRESS,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
7770,272787142,CALIFORNIA WOMENS CHORUS,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,5000,0
7771,272788621,CALIFORNIA WOMENS CHORUS,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,5000,0
7772,272790477,BORDEAUX YOUTH SOCCER INC,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
7773,272792935,TEXAS MASTER GARDENER ASSOCIATION INC,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,1
7774,272795101,FANS OF THE EVERGLADES RESTORATION MAGNET INC,T3,Independent,C1000,Preservation,Trust,1,10000-24999,N,11553,0
7775,272797284,INSTITUTE FOR RARE AND NEGLECTED DISEASES DRUG DISCOVERY,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,31875,1
7776,272801474,RANGERS FC INC,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,77752,0
7777,272803973,AMATEUR ATHLETIC UNION OF THE UNITED STATES,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,5000,0
7778,272805240,THE UNITED STATES PONY CLUBS INC,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,1
7779,272807640,PARENT BOOSTER USA INC,T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,5000,1
7780,272807780,MINISTRY ASSISTING NEIGHBORS IN NEED WITH AGAPE,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
7781,272813873,MARYSVILLE GETCHELL HIGH SCHOOL PTSA 7 4 52,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,0
7782,272815356,SOLDIERS PROJECT,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,243918,1
7783,272818227,PARENT BOOSTER USA INC,T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,5000,0
7784,272819212,L-LIFE FOOD BANK,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,50123,0
7785,272822042,AMATEUR ATHLETIC UNION OF THE UNITED STATES INC,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,5000,0
7786,272823485,ORCAS FAMILY CONNECTIONS,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,75363,1
7787,272824259,SOGETSU IKEBANA LOS ANGELES BRANCH,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,0
7788,272829536,PURPOSE DRIVEN INTERNATIONAL MINISTRY,T3,Independent,C7100,Preservation,Trust,1,0,N,5000,1
7789,272830959,TRINBAGO ASSOCIATION OF CENTRAL FLORIDA INC,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
7790,272831224,PASSAGES FAMILY SUPPORT A NONPROFIT CORPORATION,T3,Independent,C1000,Preservation,Trust,1,1M-5M,N,1239549,0
7791,272831679,SCOTT LOCHRIDGE FOUNDATION,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
7792,272832901,DESIGN EAST OF LA BREA,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
7793,272834906,ACADIANA GOOD TIMES ROLLERS,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
7794,272835986,NATIONAL SOCIETY COLONIAL DAUGHTERS OF THE SEVENTEENTH CENTURY,T4,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
7795,272838067,AFRICAN SOCIAL AND IMMIGRATION SERVICES,T3,Independent,C2100,Preservation,Trust,1,0,N,5000,1
7796,272843623,MOUNTAIN HERITAGE PRESERVATION SOCIETY,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
7797,272843742,DEPARTMENT OF NEVADA VETERANS OF FOREIGN WARS OF THE U S INC,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
7798,272849224,SOROPTIMIST INTERNATIONAL TO THE AMERICAS INC,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,0
7799,272851135,PITKIN - EAGLE - GARFIELD DAMAGE PREVENTION COUNCIL,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
7800,272851520,PARENT BOOSTER USA INC,T3,CompanySponsored,C2100,Preservation,Trust,1,25000-99999,N,7187,0
7801,272854241,LEARNING THE IMPORTANCE OF FITNESS AND EXERCISE INC,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
7802,272857430,STUDENT ADOPTION NETWORK DEVELOPMENT FOUNDATION INC,T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,10567,0
7803,272857875,ARKANSAS PARENT COORDINATORS-FACILITATORS ASSOCIAT,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
7804,272863460,PTA TEXAS XONGRESS,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
7805,272866193,CLEARCREEK I S D SUPPORT GROUPS,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,5000,0
7806,272873128,FRIENDS OF ANIMAL CONTROL TEAM SAVANNH INC,T3,Independent,C4000,Preservation,Trust,1,25000-99999,N,5000,1
7807,272873401,BASILICA RESOURCES,T3,Independent,C7000,Preservation,Trust,1,10000-24999,N,64174,1
7808,272875205,PARENT BOOSTER USA INC,T3,CompanySponsored,C2100,Preservation,Trust,1,100000-499999,N,128358,0
7809,272875280,DIVINE GIRLS HOME INC,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
7810,272875537,COASTAL GEORGIA FILM ALLIANCE INC,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
7811,272877955,PHILIPPINE ASSOCIATION OF MEDICAL TECHNOLOGISTS SAN DIEGO CHAPTER,T3,Independent,C2100,Preservation,Trust,1,0,N,5000,0
7812,272878472,MIAMI JAZZ COOPERATIVE INC,T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,5523,1
7813,272878904,PARENT BOOSTER USA INC,T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,5000,0
7814,272879330,EMPACT NORTHWEST,T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,25518,1
7815,272879741,HAPPY WHEELS FOUNDATION,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
7816,272880102,CAVALIER KING CHARLES SPANIEL,T4,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
7817,272886871,AMERICAN DOG OWNERS FOR PROPER TRAINING INC,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
7818,272893857,ADVANTAGE FLAG FOOTBALL,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,132932,1
7819,272894493,YOUNG ENTREPRENEURS ORGANIZATION,T3,CompanySponsored,C1000,Preservation,Trust,1,100000-499999,N,59143,0
7820,272896412,COMBAT SHADOW HERITAGE ASSOCIATION,T19,Independent,C1000,Preservation,Association,1,0,N,5000,1
7821,272903936,CROSSROADS DOWNTOWN PARTNERSHIP INC,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,54024,1
7822,272905400,HOLY LAND MISSIONS,T3,Independent,C1000,Preservation,Trust,1,1M-5M,N,280970,1
7823,272909993,MONTANA ASSOCIATION OF COMMUNITY DEVELOPMENT EXTENSION PROFESSIONAL,T6,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
7824,272911486,PTA TEXAS CONGRESS,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
7825,272914210,LAUGHING PONY RESCUE INC,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,51358,1
7826,272921671,WASHINGTON STATE UNIVERSITY,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,1
7827,272922567,OKC IMPROV FOUNDATION,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,18496,1
7828,272923586,FRISCO TEXAS SISTER CITIES INTERNATIONAL INC,T3,Independent,C2100,Preservation,Trust,1,0,N,5000,1
7829,272923877,SOUTHERN CALIFORNIA MAGIC FOUNDATION INC,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
7830,272927147,ETERNAL HOPE SOCIETY FOUNDATION INC,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
7831,272928616,CENTER FOR POST-POLIO REHABILITATION INC,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
7832,272928676,LEAVENWORTH 10 INC,T4,Independent,C3000,ProductDev,Trust,1,0,N,5000,1
7833,272929503,INTERNATIONAL HOSPITALITY INFORMATION TECHNOLOGY ASSOCIATION,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
7834,272930968,FUTURE FARMERS OF AMERICA STATE ASSOCIATIONS & LOCAL CHAPTER,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,5000,0
7835,272931129,CENTRAL MAGNET SCHOOL PARENT TEACHER ORGANIZATION,T3,Independent,C2000,Preservation,Trust,1,25000-99999,N,5000,0
7836,272933835,LANGUAGE AND CULTURE TRAINING CENTER,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,0
7837,272937599,SOCIETY OF SAINT VINCENT DE PAUL COUNCIL OF LOS ANGELES,T3,CompanySponsored,C1700,Preservation,Association,1,0,N,5000,0
7838,272941401,ASSOCIATION FOR VASCULAR ACCESS,T6,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,1
7839,272944133,SOUTHERN CALIFORNIA OUTRIGGER RACING ASSOCIATION,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,1
7840,272945696,DAUGHTERS OF ANAMBRA STATE ASSOCIATION IN AMERICA,T4,Independent,C3000,ProductDev,Trust,1,0,N,5000,1
7841,272947128,GENERAL FEDERATION OF WOMENS CLUBS ARIZONA INC,T4,CompanySponsored,C3000,ProductDev,Association,1,0,N,5000,0
7842,272950782,SOCIETY FOR CREATIVE ANACHRONISM INC,T3,CompanySponsored,C2000,Preservation,Trust,1,25000-99999,N,57761,1
7843,272952574,PET FOOD PANTRY OF OKLAHOMA CITY INC,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,155416,1
7844,272961551,SPARTAN ATHLETIC CLUB,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,0
7845,272961919,INTERNATIONAL ASSOCIATION OF EXHIBITIONS AND EVENTS,T6,CompanySponsored,C2000,ProductDev,Trust,1,0,N,5000,1
7846,272962124,PARENT BOOSTER USA INC,T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,5000,0
7847,272964751,VISITORS BUREAU OF LANCASTER INC,T4,Independent,C3000,ProductDev,Trust,1,100000-499999,N,427767,0
7848,272966001,PARENT BOOSTER USA INC,T3,CompanySponsored,C2100,Preservation,Trust,1,100000-499999,N,52971,0
7849,272967414,AMELIA ISLAND EQUITY CLUB INC,T7,Independent,C1000,ProductDev,Trust,1,5M-10M,N,14118610,1
7850,272967612,QUAIL FEDERATION INC,T3,CompanySponsored,C1200,Preservation,Trust,1,100000-499999,N,261942,1
7851,272967690,QUAIL FEDERATION INC,T3,Independent,C1400,Preservation,Trust,1,25000-99999,N,31633,0
7852,272973078,CREATING OPPORTUNITIES FOR EDUCATIONAL DEVELOPMENT,T3,Independent,C1000,Preservation,Trust,1,1-9999,N,11918,1
7853,272973845,HUITZILOPOCHTLI DANCING AND TEACHING OUR INDIGENOUS HERITAGE,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
7854,272974406,NO MORE PLAYGROUND LEGENDS INC,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
7855,272978993,EXPECTCHANGE NONPROFIT CORPORATION,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
7856,272980557,TROY AREA ALUMNI CHAPTER,T7,Independent,C1000,ProductDev,Association,1,0,N,5000,0
7857,272982565,EVER CARE FOUNDATION,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
7858,272983871,SKY COUNTRY ESTATES PROPERTY OWNERS ASSOCIATION,T4,Independent,C1000,ProductDev,Trust,1,0,N,5000,0
7859,272984343,MINDS MATTER,T3,CompanySponsored,C1000,Preservation,Trust,1,100000-499999,N,272030,0
7860,272991377,OPERATION SAFE SIDE INC,T19,Independent,C1000,Preservation,Trust,1,0,N,5000,1
7861,272992306,ADVENT OPENDOOR MINISTRIES A CALIFORNIA RELIGIOUS CORPORATION,T3,Independent,C7000,Preservation,Trust,1,0,N,5000,1
7862,272993311,CHANGE LANES YOUTH SUPPORT SERVICES,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
7863,272997994,GIVE HOPE BACK,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
7864,272998683,NORTH EAST TARRANT TEA PARTY INC,T4,Independent,C2000,ProductDev,Trust,1,25000-99999,N,26475,0
7865,273001196,PARENT BOOSTER USA INC,T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,5000,0
7866,273001286,COMMON SENSE COALITION FOR CHANGE INC,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
7867,273004617,WASHINGTON STATE UNIVERSITY,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
7868,273006545,CHIEF WARRANT & WARRANT OFFICERS ASSOCIATION U S COAST GUARD,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
7869,273008054,GREEN STREETS,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
7870,273011794,LITE LIFTING INDIVIDUALS THROUGH EDUCATION INC,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
7871,273013771,GALAPAGOS PROJECTS INC,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
7872,273015070,ORTHODOX CHRISTIAN MINISTRIES INC,T3,Independent,C7000,Preservation,Trust,1,0,N,5000,1
7873,273015611,AMERICAN CHRISTIAN FICTION WRITERS INC,T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,5000,1
7874,273019130,ARIELS RESERVE INC,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
7875,273020185,FISH FOOD FEEL GOOD,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
7876,273021913,GAINESVILLE ENVIRONMENTAL FILM AND ARTS FESTIVAL,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,0
7877,273023101,SEED-PLANTERS-INTHE-NAME-OF-CHRIST,T3,Independent,C1000,Preservation,Trust,1,1-9999,N,5000,1
7878,273024365,VEDA PROJECT INCORPORATED,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
7879,273026950,TUALATIN VALLEY YOUTH LACROSSE LEAGUE,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
7880,273027343,SPEED OF CHANGE INC,T3,Independent,C1200,Preservation,Trust,1,100000-499999,N,59899,1
7881,273028282,YOUNG PROFESSIONALS IN TRANSPORTATION,T6,CompanySponsored,C2000,ProductDev,Trust,1,0,N,5000,0
7882,273034432,WOMEN IN AVIATION INTERNATIONAL,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
7883,273035295,DEEP END - A NONPROFIT CORPORATION,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,5000,1
7884,273038305,PARROT FOUNDATION,T3,Independent,C4000,Preservation,Trust,1,0,N,5000,1
7885,273041062,PROGRESSIVE ELDERCARE SERVICES CROSS INC,T3,Independent,C1000,Preservation,Trust,1,5M-10M,N,1417765,1
7886,273042642,PROGRESSIVE ELDERCARE SERVICES MORRILTON INC,T3,Independent,C1000,Preservation,Trust,1,5M-10M,N,1056397,1
7887,273042765,PROGRESSIVE ELDERCARE SERVICES DREW INC,T3,Independent,C1000,Preservation,Trust,1,1M-5M,N,1500508,1
7888,273042888,AMVETS,T19,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,0
7889,273042957,PROGRESSIVE ELDERCARE SERVICES CHICOT INC,T3,Independent,C1000,Preservation,Trust,1,1M-5M,N,1116861,1
7890,273043003,PROGRESSIVE ELDERCARE SERVICES BRYANT INC,T3,Independent,C1000,Preservation,Trust,1,5M-10M,N,2519934,1
7891,273043118,PROGRESSIVE ELDERCARE SERVICES SALINE INC,T3,Independent,C1000,Preservation,Trust,1,5M-10M,N,2440092,1
7892,273045571,DELTA STREETS MINISTRIES INC,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,227133,0
7893,273045652,KNIGHTS OF COLUMBUS MATER DEI COUNCIL 15033,T8,Independent,C1000,Preservation,Association,1,0,N,5000,0
7894,273046575,AGBEYOMI WORLD OUTREACH INC,T3,Independent,C1000,Preservation,Trust,1,1-9999,N,5000,1
7895,273046968,LODI REDS BASEBALL CLUB,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
7896,273046997,MARILLAC COMMUNITY HEALTH CENTERS,T3,Independent,C1000,Heathcare,Trust,1,10M-50M,N,3729734,0
7897,273048293,CALIFORNIA HIGHWAY PATROL EXPLORER PROGRAM,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,0
7898,273048668,US LACROSSE INC,T3,CompanySponsored,C1000,Preservation,Trust,1,25000-99999,N,15871,1
7899,273051469,FAMILY EXTENDED CARE OF PUNTA GORDA INC,T3,Independent,C1000,Preservation,Trust,1,1M-5M,N,3789296,1
7900,273051697,PEDIATRIC CANCER RESEARCH FOUNDATION NEW YORK,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
7901,273053614,MAGIC BUS USA,T3,Independent,C1000,Preservation,Trust,1,1M-5M,N,309117,1
7902,273056629,CARTER JOHNSON LIBRARY AND COLLECTION,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
7903,273059021,FRIENDS OF THE NEW MISSION CAMPUS,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
7904,273062635,ALBERT FARINE ELEMENTARY PARENT TEACHER ORGANIZATION- PTO,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
7905,273064990,FRIENDS OF ST CATHERINE INC,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
7906,273065022,PTA TEXAS CONGRESS,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
7907,273066315,ASSOCIATION OF PARENTS TEACHERS & STUDENTS,T3,Independent,C1000,Preservation,Association,1,0,N,5000,0
7908,273069125,SPURS SORORITY ALUMNAE ASSOCIATION FOUNDATION INC,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
7909,273072381,PARENT BOOSTER USA INC,T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,5000,0
7910,273073536,CLEAR CREEK ISD GROUPS,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,5000,0
7911,273075746,SIREN NATION INC,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
7912,273084135,INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS,T5,CompanySponsored,C3000,ProductDev,Association,1,25000-99999,N,86127,1
7913,273085435,LAKESIDE CHARTER SCHOOLS INC,T3,Independent,C2000,Preservation,Trust,1,1-9999,N,34562,0
7914,273086664,CALIFORNIA STATE CHAPER WOMENS COUNCIL OF REALTORS,T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,5000,1
7915,273088516,POWERS HOUSE OF HOPE INC,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
7916,273089055,CDM INTERNATIONAL,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,18920,1
7917,273090441,WISDOMWORK EDUCATIONAL INSTITUTE,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
7918,273091249,DEPARTMENT OF NEVADA VETERANS OF FOREIGN WARS OF THE U S INC,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
7919,273092607,SPELL-CITY ENGLISH SPELLING SCHOOL,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
7920,273096941,BRICK BY BRICK ARTS INC,T3,Independent,C2300,Preservation,Trust,1,0,N,5000,1
7921,273097172,SWEET ADELINES INTERNATIONAL,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,5000,0
7922,273097817,VIVID VOICES OF AFRICA FOUNDATION INC,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
7923,273100079,ST BERNARD VOLUNTEERS FOR FAMILY AND COMMUNITY INC,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
7924,273102028,CLASS MATTERS INC,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,38000,1
7925,273105230,CHILD RESTORATION OUTREACH-UNITED STATES OF AMERICA,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
7926,273108159,YOUTH EDUCATIONAL TRAVEL INTERNATIONAL,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
7927,273108529,CAN AND WILL MUSIC FOUNDATION INC,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
7928,273112612,HEARTS IN HANDS INC,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
7929,273121021,AMATEUR ATHLETIC UNION OF THE UNITED STATES INC,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,5000,0
7930,273121558,LONGSHORE LAKE WOMENS CLUB INC,T4,Independent,C1000,ProductDev,Trust,1,0,N,5000,0
7931,273126811,AMERICAN LEGION AUXILIARY,T19,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
7932,273127383,ARKANSAS SCHOOL FOR INTEGRATED ACADEMICS & TECHNOLOGIESLITTLEROCK,T3,Independent,C2000,Preservation,Trust,1,1M-5M,N,236435,0
7933,273129197,HISPANIC 100 POLICY COMMITTEE INC,T4,Independent,C1000,ProductDev,Trust,1,25000-99999,N,53657,1
